track_id,in_playlist_url,default_url,title,username,username_link,in_playlist,artwork_url,create_time,username_playlist,username_playlist_url,description,playback_count,likes_count,reposts_count,comment_count,duration,purchase_title,purchase_url,genre,tag_list,related_track
328424524,https://soundcloud.com/labarra_fm/mexico-en-el-cine-ruso?in=labarra_fm/sets/trichevique,https://soundcloud.com/labarra_fm/mexico-en-el-cine-ruso,#Trichevique: México en el cine ruso,labarra_fm,https://soundcloud.com/labarra_fm,#Trichevique,https://i1.sndcdn.com/artworks-000228825992-cwygmm-t500x500.jpg,2017-06-16T18:21:36.000Z,labarra_fm,https://soundcloud.com/labarra_fm,Conoce la historia de Sergei Eisenstein y cómo México influyó en sus producciones cinematográficas,,,,,1:12,,,,,Programa Especial Etapa 16: Sherrif's Invitational;Anotación contra la discriminación sexual;Pulitzer: Clavados en México
328425116,https://soundcloud.com/labarra_fm/el-dia-que-mexico-toco-el-cielo-del-futbol?in=labarra_fm/sets/trichevique,https://soundcloud.com/labarra_fm/el-dia-que-mexico-toco-el-cielo-del-futbol,#Trichevique: El día que México tocó el cielo del futbol,labarra_fm,https://soundcloud.com/labarra_fm,#Trichevique,https://i1.sndcdn.com/artworks-000228826615-po7vur-t500x500.jpg,2017-06-16T18:23:40.000Z,labarra_fm,https://soundcloud.com/labarra_fm,"Recordamos la Copa Confederaciones de 1999, el único título oficial de la selección mexicana mayor a la fecha",,,,,1:52,,,,,Programa Especial Etapa 16: Sherrif's Invitational;Anotación contra la discriminación sexual;Pulitzer: Clavados en México
328432315,https://soundcloud.com/labarra_fm/las-casas-de-la-confederaciones?in=labarra_fm/sets/trichevique,https://soundcloud.com/labarra_fm/las-casas-de-la-confederaciones,#Trichevique: Las casas de la Confederaciones,labarra_fm,https://soundcloud.com/labarra_fm,#Trichevique,https://i1.sndcdn.com/artworks-000228835547-yscp0a-t500x500.jpg,2017-06-16T18:49:33.000Z,labarra_fm,https://soundcloud.com/labarra_fm,Estas serán las cuatro sedes que recibirán el torneo de la FIFA,,,,,2:02,,,,,Programa Especial Etapa 16: Sherrif's Invitational;Anotación contra la discriminación sexual;Pulitzer: Clavados en México
328433859,https://soundcloud.com/labarra_fm/leon-trotsky-y-el-vinculo-de-la-politica-rusa-con-el-arte-mexicano?in=labarra_fm/sets/trichevique,https://soundcloud.com/labarra_fm/leon-trotsky-y-el-vinculo-de-la-politica-rusa-con-el-arte-mexicano,#Trichevique: Leon Trotsky y el vínculo de la política rusa con el arte mexicano,labarra_fm,https://soundcloud.com/labarra_fm,#Trichevique,https://i1.sndcdn.com/artworks-000228837347-3xi28d-t500x500.jpg,2017-06-16T18:55:20.000Z,labarra_fm,https://soundcloud.com/labarra_fm,La historia del revolucionario ruso que llegó a México y relacionó a ambos países,,,,,1:40,,,,,Programa Especial Etapa 16: Sherrif's Invitational;Anotación contra la discriminación sexual;Pulitzer: Clavados en México
328434272,https://soundcloud.com/labarra_fm/la-cercania-de-lo-lejano?in=labarra_fm/sets/trichevique,https://soundcloud.com/labarra_fm/la-cercania-de-lo-lejano,#Trichevique: La cercanía de lo lejano,labarra_fm,https://soundcloud.com/labarra_fm,#Trichevique,https://i1.sndcdn.com/artworks-000228837886-5s6sdi-t500x500.jpg,2017-06-16T18:57:02.000Z,labarra_fm,https://soundcloud.com/labarra_fm,"A pesar de los kilómetros de distancia, México y Nueva Zelanda tienen más en común de lo que parece.",,,,,1:37,,,,,Programa Especial Etapa 16: Sherrif's Invitational;Anotación contra la discriminación sexual;Pulitzer: Clavados en México
1066471891,https://soundcloud.com/gb-voices-13826238/zoe-teen-audiobook-demo-gbv?in=gb-voices-13826238/sets/zoe-at-great-british-voices,https://soundcloud.com/gb-voices-13826238/zoe-teen-audiobook-demo-gbv,Zoe Audiobook Demo GBV 2021 (dryread),Great British Voices,https://soundcloud.com/gb-voices-13826238,Zoe at Great British Voices,https://i1.sndcdn.com/artworks-O4nKOsZf46QIjUWj-pUFU0g-t500x500.jpg,2021-06-11T12:06:31.000Z,Great British Voices,https://soundcloud.com/gb-voices-13826238,,,,,1,0:30,,,,,Anthony R  Promo Demo GBV 2021;RJ- Video Game & Animation Demo - GBV;RJ Bayley Audiobook Narration Demo 2021
1066471849,https://soundcloud.com/gb-voices-13826238/zoe-commercial-demo-gbv-2021?in=gb-voices-13826238/sets/zoe-at-great-british-voices,https://soundcloud.com/gb-voices-13826238/zoe-commercial-demo-gbv-2021,Zoe Commercial Demo GBV 2021,Great British Voices,https://soundcloud.com/gb-voices-13826238,Zoe at Great British Voices,https://i1.sndcdn.com/artworks-O4nKOsZf46QIjUWj-pUFU0g-t500x500.jpg,2021-06-11T12:06:29.000Z,Great British Voices,https://soundcloud.com/gb-voices-13826238,,,,,,1:19,,,,,Anthony R  Promo Demo GBV 2021;RJ- Video Game & Animation Demo - GBV;RJ Bayley Audiobook Narration Demo 2021
214592342,https://soundcloud.com/roger-b-train/just-a-mood?in=roger-b-train/sets/just-a-mood-playlist,https://soundcloud.com/roger-b-train/just-a-mood,Just A Mood,Roger/B-Train,https://soundcloud.com/roger-b-train,Just A MooD/Playlist,https://i1.sndcdn.com/artworks-000123156761-sl10v3-t500x500.jpg,2015-07-13T23:05:25.000Z,Roger/B-Train,https://soundcloud.com/roger-b-train,Just got my baby outta the hospital!!! Thought I needed a new switch but it's a 2003 and all they had to do was deoxidize it!! Too CooL!! saved a whole lot of money and got them to put some Gibson Vintage reissue strings on it and clean it up!! Long & McQuade's Rocks!!! 28 bucks for everything!!! First test run with a lil tremilo effect!!! Been awhile since I could play it in the middle position!! Both PUP's!!! May not hear it hear but a big difference!!! :D,2548,233,67,88,5:30,,,Blues,,Illegal Moneytransaction;Bullitt Rock. Collab Rémi Carpentier synthé. (with you tube video);And I Love Her
227993389,https://soundcloud.com/roger-b-train/just-a-mood-1?in=roger-b-train/sets/just-a-mood-playlist,https://soundcloud.com/roger-b-train/just-a-mood-1,Just A Mood (2),Roger/B-Train,https://soundcloud.com/roger-b-train,Just A MooD/Playlist,https://i1.sndcdn.com/artworks-000132428947-uzj26p-t500x500.jpg,2015-10-12T02:30:41.000Z,Roger/B-Train,https://soundcloud.com/roger-b-train,"Sometime's ya just need to play!! Hope you enjoy!!!
Roger-b-train – Just-a-mood
Forgot I used this name already!!! 3 will come along!!! I no it!!! LOL",1178,165,71,82,6:02,,,BLUE'S,,Illegal Moneytransaction;Bullitt Rock. Collab Rémi Carpentier synthé. (with you tube video);And I Love Her
233220930,https://soundcloud.com/roger-b-train/just-a-mood-3?in=roger-b-train/sets/just-a-mood-playlist,https://soundcloud.com/roger-b-train/just-a-mood-3,Just A Mood (3),Roger/B-Train,https://soundcloud.com/roger-b-train,Just A MooD/Playlist,https://i1.sndcdn.com/artworks-000136262217-sfagyi-t500x500.jpg,2015-11-15T22:31:29.000Z,Roger/B-Train,https://soundcloud.com/roger-b-train,"Roger-b-train – Just-a-mood-1
Roger-b-train – Just-a-mood
That time again just to lay down some slow blue's...Hope you enjoy!! :D",775,152,64,53,5:08,,,Slow Blues,,Illegal Moneytransaction;Bullitt Rock. Collab Rémi Carpentier synthé. (with you tube video);And I Love Her
